source_index,proposition_id,house,type,number,year,title,old_severity,old_structural_type,old_assessments,issues,action,proposed
10,alrs:pl-432-2023,alrs,pl,432,2023,Cessão gratuita de espaços da rede pública para cursos pré-universitários populares,3,structural,"[{""group"": ""criancas_adolescentes_vulnerabilidade"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.92}, {""group"": ""populacao_negra_periferica"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.88}]",NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
11,alrs:pl-libertar-2024,alrs,pl,libertar,2024,Projeto Libertar — Política de prevenção a crimes sexuais contra crianças e adolescentes,4,structural,"[{""group"": ""criancas_adolescentes_vulnerabilidade"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.95}]",NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
12,alrs:pl-patrulha-infancia-2024,alrs,pl,patrulha-infancia,2024,Patrulha Estadual de Prevenção à Violência Doméstica contra Crianças e Adolescentes,4,structural,"[{""group"": ""criancas_adolescentes_vulnerabilidade"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.95}]",NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
13,alrs:pl-fibromialgia-2023,alrs,pl,fibromialgia,2023,Lei Daniel Lenz — Atendimento prioritário e direitos para pessoas com fibromialgia,2,symbolic,"[{""group"": ""pessoas_com_deficiencia"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.9}]",NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
14,alrs:pl-orfandade-covid-2023,alrs,pl,orfandade-covid,2023,Proteção social e auxílio às crianças e adolescentes em situação de orfandade,3,budgetary,"[{""group"": ""criancas_adolescentes_vulnerabilidade"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.95}]",NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
15,camara:mpv-1313-2025,camara,mpv,1313,2025,Apoio emergencial e amparo aos trabalhadores informais e autônomos,2,structural,"[{""group"": ""trabalhadores_informais"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.85}]",NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
16,camara:mpv-1323-2025,camara,mpv,1323,2025,Linhas de crédito e amparo produtivo a microempreendedores e trabalhadores informais,3,structural,"[{""group"": ""trabalhadores_informais"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.85}]",NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
17,alrs:pl-27-2024,alrs,pl,27,2024,Reconhecimento da identidade de gênero de pessoas trans e não binárias pós-morte,3,structural,"[{""group"": ""lgbtqia"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.99}]",NO_JUDGMENT_ERROR_DETECTED,KEEP_CORRECTED,"{""canonical_key"": ""alrs|pl|27|2024"", ""severity"": 3, ""structural_type"": ""structural"", ""assessments"": [{""group"": ""lgbtqia"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.99}]}"
18,alrs:pl-43-2019,alrs,pl,43,2019,Divulgação obrigatória do canal Disque 180 em estabelecimentos,2,structural,"[{""group"": ""mulheres"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.9}]",NO_JUDGMENT_ERROR_DETECTED,KEEP_CORRECTED,"{""canonical_key"": ""alrs|pl|43|2019"", ""severity"": 2, ""structural_type"": ""structural"", ""assessments"": [{""group"": ""mulheres"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.9}]}"
19,alrs:pec-302-2025-mecanismos-de-p,alrs,pl,1,2026,"Altera a Constituição do Estado do Rio Grande do Sul para instituir mecanismos de promoção e garantia de fomento ao Turismo, e transversalidade de ações com a Cultura e o Desporto, e dá outras providências.",4,structural,"[{""group"": ""meio_ambiente_clima"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.9}]",INVALID_TAXONOMY_GROUP:meio_ambiente_clima | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
20,alrs:pl-510-2025-altera-legisla-,alrs,pl,1,2026,"Altera a Lei Ordinária n.º 15.988 de 07 de agosto de 2023, que consolida a legislação relativa às mulheres vítimas de violência no âmbito do Estado do Rio Grande do Sul.",4,structural,"[{""group"": ""mulheres"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.95}]",MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | DUPLICATE_OF_CANONICAL_MATTER,REMOVE_DUPLICATE,"{""canonical_key"": ""alrs|pl|98|2024""}"
21,alrs:pl-432-2023-cess-o-de-espa-o,alrs,pl,1,2026,Permite a cessão gratuita dos espaços físicos das unidades da rede pública estadual de ensino do Estado do Rio Grande do Sul para o funcionamento de cursos pré-universitários populares e dá outras providências. (SEI 14400-01.00/23-2),3,structural,"[{""group"": ""educacao_estudantes"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.9}]",INVALID_TAXONOMY_GROUP:educacao_estudantes | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
22,alrs:pl-125-2021-programa-rs-por-,alrs,pl,1,2026,Dispõe sobre a criação do Programa de Defesa pessoal para Mulheres “RS POR ELAS” no âmbito do Estado do Rio Grande do Sul e dá outras providências.(SEI 4237-0100/21-8),3,structural,"[{""group"": ""mulheres"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.95}]",MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | DUPLICATE_OF_CANONICAL_MATTER,REMOVE_DUPLICATE,"{""canonical_key"": ""alrs|pl|125|2021""}"
23,alrs:institui-a-pol-tica-de-preven-,alrs,pl,1,2026,"Institui a política de prevenção a crimes sexuais contra adolescentes, no Estado do Rio Grande do Sul, denominado “Projeto Libertar”.",4,structural,"[{""group"": ""criancas_adolescentes_vulnerabilidade"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.95}]",MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | WRONG_SEVERITY:4->3,KEEP_CORRECTED,"{""canonical_key"": ""alrs|pl|66|2024"", ""severity"": 3, ""structural_type"": ""structural"", ""assessments"": [{""group"": ""criancas_adolescentes_vulnerabilidade"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.97}]}"
24,alrs:disp-e-sobre-a-cria-o-da-patr,alrs,pl,1,2026,Dispõe sobre a criação da Patrulha Estadual de Prevenção à Violência Doméstica e Familiar contra Crianças e Adolescentes.,4,structural,"[{""group"": ""mulheres"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.95}]",MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | JUDGMENT_MISMATCH_WITH_CORRECTED_MATRIX | DUPLICATE_OF_CANONICAL_MATTER,REMOVE_DUPLICATE,"{""canonical_key"": ""alrs|pl|424|2024""}"
25,alrs:altera-a-lei-n-15-950-de-9-,alrs,pl,1,2026,"Altera a Lei n.º 15.950, de 9 de janeiro de 2023, que consolida a legislação estadual relativa a eventos e datas estaduais, instituindo o Calendário Oficial de Eventos e Datas Comemorativas do Estado do Rio Grande do Sul, para incluir o Março Lilás, o dia de conscientização sobre HPV, o dia da prevenção ao câncer de colo do útero, e dá outras providências.",3,structural,"[{""group"": ""mulheres"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.95}]",MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | WRONG_SEVERITY:3->1 | WRONG_STRUCTURAL_TYPE:structural->symbolic,KEEP_CORRECTED,"{""canonical_key"": ""alrs|pl|57|2025"", ""severity"": 1, ""structural_type"": ""symbolic"", ""assessments"": [{""group"": ""mulheres"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.95}]}"
26,alrs:altera-a-lei-n-15-606-de-29-,alrs,pl,1,2026,"Altera a Lei nº 15.606, de 29 de abril de 2021, que institui a Política Estadual de Proteção dos Direitos da Pessoa com Fibromialgia – Lei Daniel Lenz, tornando obrigatória a inclusão do símbolo mundial da Fibromialgia nas placas ou avisos de atendimento prioritário no Estado do Rio Grande do Sul.",3,structural,"[{""group"": ""pessoas_com_deficiencia"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.92}]",MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | WRONG_SEVERITY:3->2 | DUPLICATE_OF_CANONICAL_MATTER,REMOVE_DUPLICATE,"{""canonical_key"": ""alrs|pl|100|2025""}"
27,alrs:altera-a-lei-n-12-882-de-03-,alrs,pl,1,2026,"Altera a Lei nº 12.882, de 03 de janeiro de 2008, que institui o Programa Estadual de Apoio ao Transporte Escolar no Rio Grande do Sul - PEATE/RS.",3,structural,"[{""group"": ""educacao_estudantes"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.9}]",INVALID_TAXONOMY_GROUP:educacao_estudantes | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
28,alrs:institui-a-pol-tica-estadual-d,alrs,pl,1,2026,Institui a Política Estadual de Proteção Social às Crianças e aos Adolescentes em situação de orfandade decorrente da Covid-19 e dá outras providências. (SEI 1338-0100/22-5),4,structural,"[{""group"": ""criancas_adolescentes_vulnerabilidade"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.95}]",MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | DUPLICATE_OF_CANONICAL_MATTER,REMOVE_DUPLICATE,"{""canonical_key"": ""alrs|pl|10|2022""}"
29,alrs:altera-a-lei-n-15-266-de-24-,alrs,pl,1,2026,"Altera a Lei nº 15.266, de 24 de janeiro de 2019, que dispõe sobre o Estatuto do Concurso Público no âmbito do Estado do Rio Grande do Sul e dá outras providências.",3,structural,"[{""group"": ""servidores_publicos"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.92}]",INVALID_TAXONOMY_GROUP:servidores_publicos | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
30,alrs:altera-a-lei-estadual-n-16-32,alrs,pl,1,2026,"Altera a Lei Estadual nº 16.328, de 8 de agosto de 2025, que institui a reserva de vagas, em percentual de no mínimo 20% (vinte por cento), nas empresas da área de segurança, vigilância e transportes de valores, para vigilantes do sexo feminino, nas contratações que especifica e dá outras providências, estendendo a reserva de vagas para todos os tipos de contrato e priorizando a contratação de vít",4,structural,"[{""group"": ""meio_ambiente_clima"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.9}]",INVALID_TAXONOMY_GROUP:meio_ambiente_clima | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | JUDGMENT_MISMATCH_WITH_CORRECTED_MATRIX | DUPLICATE_OF_CANONICAL_MATTER,REMOVE_DUPLICATE,"{""canonical_key"": ""alrs|pl|361|2025""}"
31,alrs:institui-o-programa-estadual-d,alrs,pl,1,2026,Institui o Programa Estadual de Promoção da Cultura e das Tradições Gaúchas nas Escolas da Rede Pública Estadual do Rio Grande do Sul.,3,structural,"[{""group"": ""educacao_estudantes"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.9}]",INVALID_TAXONOMY_GROUP:educacao_estudantes | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
32,alrs:cria-o-programa-estadual-de-pr,alrs,pl,1,2026,"Cria o Programa Estadual de Proteção e Apoio à Mulher Vítima de Violência Doméstica ou Familiar (PROMULHER-RS) e altera a Lei n.º 15.988, de 7 de agosto de 2023, que consolida a legislação relativa às mulheres vítimas de violência no âmbito do Estado do Rio Grande do Sul.(SEI 13088-0100/23-9)",4,structural,"[{""group"": ""mulheres"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.95}]",MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | WRONG_SEVERITY:4->3 | DUPLICATE_OF_CANONICAL_MATTER,REMOVE_DUPLICATE,"{""canonical_key"": ""alrs|pl|371|2023""}"
33,alrs:institui-o-programa-de-combate,alrs,pl,1,2026,"Institui o Programa de Combate ao Vício em Apostas e Jogos de Azar – Ludopatia, no âmbito do Estado do Rio Grande do Sul.",4,structural,"[{""group"": ""meio_ambiente_clima"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.9}]",INVALID_TAXONOMY_GROUP:meio_ambiente_clima | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
34,alrs:disp-e-sobre-as-condi-es-de-d,alrs,pl,1,2026,Dispõe sobre as condições de descanso intrajornada dos profissionais de enfermagem durante o horário de trabalho. (SEI 000005461-01.00/21-0 e 1030-0100/22-9),4,structural,"[{""group"": ""meio_ambiente_clima"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.9}]",INVALID_TAXONOMY_GROUP:meio_ambiente_clima | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
35,alrs:disp-e-sobre-restri-es-publ,alrs,pl,1,2026,Dispõe sobre restrições à publicidade de plataformas de apostas esportivas no âmbito do Estado do Rio Grande do Sul e dá outras providências.,4,structural,"[{""group"": ""meio_ambiente_clima"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.9}]",INVALID_TAXONOMY_GROUP:meio_ambiente_clima | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | JUDGMENT_MISMATCH_WITH_CORRECTED_MATRIX | WRONG_SEVERITY:4->3,KEEP_CORRECTED,"{""canonical_key"": ""alrs|pl|408|2025"", ""severity"": 3, ""structural_type"": ""structural"", ""assessments"": [{""group"": ""criancas_adolescentes_vulnerabilidade"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.97}]}"
36,alrs:disp-e-sobre-a-instala-o-da-a,alrs,pl,1,2026,"Dispõe sobre a instalação da Assembleia Legislativa do Estado do Rio Grande do Sul na Exposição Internacional de Animais, Máquinas, Implementos e Produtos Agropecuários – Expointer 2026.",4,structural,"[{""group"": ""meio_ambiente_clima"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.9}]",INVALID_TAXONOMY_GROUP:meio_ambiente_clima | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
37,alrs:cria-o-programa-profissional-d,alrs,pl,1,2026,"Cria o Programa Profissional do Futuro, no âmbito do Estado do Rio Grande do Sul",4,structural,"[{""group"": ""meio_ambiente_clima"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.9}]",INVALID_TAXONOMY_GROUP:meio_ambiente_clima | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
38,alrs:institui-o-programa-de-inclus-,alrs,pl,1,2026,"Institui o Programa de Inclusão Digital para Idosos (PIDI) no âmbito do Estado do Rio Grande do Sul, e dá outras providências.",4,structural,"[{""group"": ""meio_ambiente_clima"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.9}]",INVALID_TAXONOMY_GROUP:meio_ambiente_clima | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | JUDGMENT_MISMATCH_WITH_CORRECTED_MATRIX | WRONG_SEVERITY:4->3,KEEP_CORRECTED,"{""canonical_key"": ""alrs|pl|328|2024"", ""severity"": 3, ""structural_type"": ""structural"", ""assessments"": [{""group"": ""pessoas_idosas_dependentes"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.92}]}"
39,alrs:institui-a-pol-cia-penal-do-es,alrs,pl,1,2026,Institui a Polícia Penal do Estado do Rio Grande do Sul e dá outras providências. (SEI 4940-0100/21-8),4,structural,"[{""group"": ""meio_ambiente_clima"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.9}]",INVALID_TAXONOMY_GROUP:meio_ambiente_clima | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
40,alrs:institui-a-prote-o-e-imutabil,alrs,pl,1,2026,Institui a proteção e imutabilidade dos símbolos do Estado do Rio Grande do Sul.(SEI 5735-01.00/23-7),4,structural,"[{""group"": ""meio_ambiente_clima"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.9}]",INVALID_TAXONOMY_GROUP:meio_ambiente_clima | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
41,alrs:estabelece-a-divulga-o-em-mur,alrs,pl,1,2026,Estabelece a divulgação em murais de vagas de trabalho em shoppings e centros comerciais localizados nos Munícipio do Estado do Rio Grande do Sul por meio de painéis afixados em locais de fácil acesso à população. (SEI 3999-0100/23-0),4,structural,"[{""group"": ""meio_ambiente_clima"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.9}]",INVALID_TAXONOMY_GROUP:meio_ambiente_clima | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
42,alrs:altera-a-lei-complementar-n-1,alrs,pl,1,2026,"Altera a Lei Complementar nº 10.992, de 18 de agosto de 1997, que dispõe sobre a carreira dos Servidores Militares do Estado do Rio Grande do Sul e dá outras providências.(SEI 11040-0100/21-9)",3,structural,"[{""group"": ""servidores_publicos"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.92}]",INVALID_TAXONOMY_GROUP:servidores_publicos | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
43,alrs:disp-e-sobre-a-inclus-o-da-tem,alrs,pl,1,2026,"Dispõe sobre a inclusão da temática “Educação Humanitária” no conteúdo programático das Escolas da Rede de Ensino Estadual do Rio Grande do Sul, e dá outras providências. (SEI 8011.0100/20-2)",3,structural,"[{""group"": ""educacao_estudantes"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.9}]",INVALID_TAXONOMY_GROUP:educacao_estudantes | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
44,alrs:disp-e-sobre-a-obrigatoriedade,alrs,pl,1,2026,"Dispõe sobre a obrigatoriedade de afixação, no âmbito do Estado do Rio Grande do Sul, de placas informativas com o número da Central de Atendimento à Mulher, Disque Denúncia da Violência Contra a Mulher (Disque 180). (SEI 8916-01.00/21-8)",4,structural,"[{""group"": ""mulheres"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.95}]",MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | WRONG_SEVERITY:4->2 | DUPLICATE_OF_CANONICAL_MATTER,REMOVE_DUPLICATE,"{""canonical_key"": ""alrs|pl|43|2019""}"
